"datetime_utc","datetime_utc_matlab","latitude","longitude","toi_source","cast","niskin","depth","O2_Ar_delta","O2_Ar_ratio","D17","d17","d18"
2018-07-20 17:33:17,737261.724305556,41.2023,-70.8855,"toi_niskin",1,3,12.5,-89.59349776,20.4178640282883,119.089,-0.105927,-0.43433
2018-07-20 17:38:29,737261.724305556,41.2031,-70.8855,"toi_niskin",1,10,2,-42.52106251,21.4735667062131,80.5003,-0.46103,-1.04505
2018-07-20 23:04:46,737261.95625,41.0316,-70.8795,"toi_niskin",2,5,24,-153.3386803,18.9882383980256,113.132,0.437256,0.626091
2018-07-20 23:09:38,737261.95625,41.0321,-70.8789,"toi_niskin",2,14,10.5,78.58443149,24.1896232188662,155.125,-0.901798,-2.03865
2018-07-20 23:12:54,737261.95625,41.0324,-70.8785,"toi_niskin",2,18,2,-32.85654442,21.6903147366534,76.6672,-0.128177,-0.395416
2018-07-20 23:12:54,737261.95625,41.0324,-70.8785,"toi_niskin",2,18,2,-32.83879688,21.6907127641913,68.2227,-0.139422,-0.400827
2018-07-20 23:14:00,737261.968055556,41.0325,-70.8784,"toi_underway",NA,NA,5,-46.7841369,21.3779579061624,74.7766,0.00250311,-0.139503
2018-07-20 23:15:00,737261.96875,41.0327,-70.8783,"toi_underway",NA,NA,5,-46.24325948,21.3900882694566,71.8319,0.00368397,-0.131546
2018-07-21 01:21:47,737262.052083333,41.0292,-70.7687,"toi_niskin",3,1,16,-57.62546844,21.1348172511642,136.097,-0.489049,-1.2063
2018-07-21 01:25:33,737262.052083333,41.0287,-70.7682,"toi_niskin",3,3,3,-42.15942717,21.4816771724518,68.1461,-0.0342163,-0.1976
2018-07-21 00:31:59,737262.022222222,41.0255,-70.6631,"toi_underway",NA,NA,5,-54.29626513,21.2094819425288,54.56,0.105968,0.099292
2018-07-21 00:47:59,737262.033333333,41.0297,-70.7203,"toi_underway",NA,NA,5,-50.31166317,21.2988453871285,60.0073,0.112519,0.101431
2018-07-21 03:03:57,737262.123611111,41.0295,-70.99,"toi_niskin",4,1,12,-123.5115926,19.6571763060041,112.364,0.130294,0.0346669
2018-07-21 03:06:56,737262.123611111,41.0291,-70.9895,"toi_niskin",4,12,3,-39.71222378,21.5365610797434,69.9552,-0.0217288,-0.176983
