attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
utc_datetime	Date and time in UTC	Date		YYYY-MM-DD hh:mm:ss		
matlab_datetime	UTC date and time in MATLAB serial date number format	numeric	dimensionless			
toi_source	Source of the sample (bottle vs. underway)	character				
cast	CTD rosette cast number, chronological per cruise	numeric	dimensionless		NaN	Sample from underway
niskin	Rosette bottle position number	numeric	dimensionless		NaN	Sample from underway
depth	Depth of sample below sea surface. URI http://vocab.nerc.ac.uk/collection/P09/current/DEPH/	numeric	meter			
O2_Ar_delta	Oxygen-argon ratio divided by the reference ratio (O2/Ar in air) -1)*100	numeric	dimensionless			
O2_Ar_ratio	Oxygen-argon ratio of sample	numeric	dimensionless			
D17	Triple isotopic composition of dissolved oxygen versus atmospheric O2 in parts per million	numeric	dimensionless			
d17	Isotopic composition of dissolved oxygen versus atmospheric O2 in parts per thousand	numeric	dimensionless			
d18	Isotopic composition of dissolved oxygen versus atmospheric O2 in parts per thousand	numeric	dimensionless			
