20-Oct-18,-110.86,19.9409,0,43,-0.02759,-0.1364,0,has no time even in matlab file,,datetime_utc_input,cast,niskin,depth_input,excluded from toi_transect_surface because no date in datetime_utc column
10/21/2018 8:03,-109.07,19.9811,5.331,38.2,0.405,0.7085,22,,,10/21/2018 8:03,1,22,5.331,
10/21/2018 10:22,-118.03,19.7801,2.481,33.2,0.4201,0.7474,20,,,10/21/2018 10:22,2,20,2.481,
10/21/2018 10:23,-117.14,19.8001,2.819,17.9,0.3974,0.7332,22,,,10/21/2018 10:23,2,22,2.819,
10/21/2018 10:28,-108.21,20.0004,0,38.8,0.1273,0.1708,0,,,,,,,
10/21/2018 12:17,-91.185,20.3822,2.295,29.3,0.2213,0.3707,16,,,10/21/2018 12:17,3,16,2.295,
10/21/2018 14:21,-80.298,20.6263,3.048,35,0.1012,0.1278,16,,,10/21/2018 14:21,4,16,3.048,
10/21/2018 14:26,-108.93,19.9842,0,37.1,0.1407,0.2002,0,,,,,,,
10/21/2018 16:26,-103.99,20.0949,3.065,35.9,0.05794,0.0425,16,,,10/21/2018 16:26,5,16,3.065,
10/21/2018 16:48,-118.02,19.7802,0,31.1,0.4203,0.7518,0,,,,,,,
10/21/2018 17:56,-111.46,19.9274,3.436,33.8,0.1544,0.233,4,the only niskin sample matched to API. ,,,,,,
10/21/2018 17:56,-110.01,19.9599,2.655,45.5,0.1641,0.2291,8,,,10/21/2018 17:56,6,8,2.655,
10/21/2018 17:56,-108.44,19.9951,3.411,33.8,0.143,0.2109,10,,,10/21/2018 17:56,6,10,3.411,
10/21/2018 19:12,-117.93,19.7823,0,23.7,0.4131,0.7523,0,,,,,,,
10/21/2018 21:36,-140.61,19.2737,0,34.5,0.2741,0.4626,0,,,,,,,
10/22/2018 12:00,-120.33,19.7286,0,35.8,0.5068,0.9099,0,,,,,,,
10/22/2018 12:00,-108.57,19.9924,0,39.4,0.3756,0.6494,0,,,,,,,
10/22/2018 12:00,-110.1,19.9581,0,32.8,0.3816,0.6737,0,,,,,,,
10/22/2018 14:24,-109.78,19.9652,0,35.8,0.3725,0.6505,0,,,,,,,
10/22/2018 14:24,-108.01,20.0048,0,33,0.3535,0.6191,0, ,,,,,,
10/23/2018 6:27,-101.89,20.142,0,34.3,0.2851,0.4844,0,matches,,,,,,
10/23/2018 6:27,-103.83,20.0986,0,35.1,0.2945,0.501,0,matches (close),,,,,,
10/23/2018 7:25,-105.65,20.0578,0,31.1,0.3175,0.5531,0,matches,,,,,,
10/23/2018 8:23,-94.921,20.2984,0,34,0.143,0.2106,0,matches,,,,,,
10/23/2018 8:25,-98.787,20.2117,0,29.7,0.1827,0.2956,0,matches,,,,,,
10/23/2018 9:23,-96.094,20.2721,0,41.8,-0.04149,-0.1608,0,matches,,,,,,
10/23/2018 9:25,-95.188,20.2924,0,35.8,-0.06155,-0.188,0,matches,,,,,,
10/23/2018 10:22,-144.65,19.183,0,41.6,0.3286,0.5543,0,matches,,,,,,
10/23/2018 10:24,-146.72,19.1367,0,37.4,0.333,0.5709,0,matches,,,,,,
10/23/2018 12:00,-115.78,19.8306,0,38.3,0.4577,0.8102,0,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,elog has 21 underway samples,,,,,,
,,,,,,,,this sheet also has 21 with depth of zero,,,,,,
,,,,,,,,9 niskin samples,,,,,,
,,,,,,,,Niskin not found in API for 8 of the 9,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
cruise,datetime_utc,datetime_utc_input,latitude_API,longitude_API,toi_source,cast,niskin,depth,,depth_input,,,,
,,,,,,,,,,,,,,
AR31A,NA,10/21/2018 8:03,NA,NA,toi_niskin,1,22,NA,,5.331,,,,
AR31A,NA,10/21/2018 10:22,NA,NA,toi_niskin,2,20,NA,,2.481,,,,
AR31A,NA,10/21/2018 10:23,NA,NA,toi_niskin,2,22,NA,,2.819,,,,
AR31A,NA,10/21/2018 12:17,NA,NA,toi_niskin,3,16,NA,,2.295,,,,
AR31A,NA,10/21/2018 14:21,NA,NA,toi_niskin,4,16,NA,,3.048,,,,
AR31A,NA,10/21/2018 16:26,NA,NA,toi_niskin,5,16,NA,,3.065,,,,
AR31A,NA,10/21/2018 17:56,NA,NA,toi_niskin,6,8,NA,,2.655,,,,
AR31A,NA,10/21/2018 17:56,NA,NA,toi_niskin,6,10,NA,,3.411,,,,
AR31A,NA,NA,NA,NA,toi_underway,NA,NA,0,,0,,,,
