"cruise","datetime_utc","datetime_utc_matlab","latitude_API","longitude_API","toi_source","cast","niskin","depth","depth_matlab","O2_Ar_delta","O2_Ar_ratio","cap_Delta_17O","d17O","d18O","iode_quality_flag"
"AR39B",2019-10-05 22:38:41,2019-10-05 22:34:00,41.1955,-70.8846666666667,"toi_niskin","001",1,19.266,19.266,-226.57,17.3459,46.1,0.9509,1.749,"1"
"AR39B",2019-10-05 22:41:11,2019-10-05 22:34:00,41.1955,-70.8846666666667,"toi_niskin","001",3,2.238,2.2385,-131.88,19.4695,41.9,0.3061,0.5102,"1"
"AR39B",2019-10-05 23:18:00,2019-10-05 23:18:00,NA,NA,"toi_underway",NA,NA,0,0,-130.48,19.5009,347,0.5966,0.4828,"1"
"AR39B",2019-10-06 00:18:27,2019-10-06 00:11:00,41.03,-70.8826666666667,"toi_niskin","002",3,30.192,30.192,-368.25,14.1685,68.6,2.327,4.371,"1"
"AR39B",2019-10-06 00:23:19,2019-10-06 00:11:00,41.03,-70.8826666666667,"toi_niskin","002",10,2.466,2.4657,-113.66,19.8781,43.6,0.125,0.1572,"1"
"AR39B",2019-10-06 02:02:29,2019-10-06 01:55:00,40.8633333333333,-70.8826666666667,"toi_niskin","003",3,27.502,27.502,-341.42,14.7702,79.8,2.177,4.057,"1"
"AR39B",2019-10-06 02:06:28,2019-10-06 01:55:00,40.8633333333333,-70.8826666666667,"toi_niskin","003",6,2.821,2.821,-96.675,20.259,42.5,0.2156,0.3343,"1"
"AR39B",2019-10-06 03:41:52,2019-10-06 03:34:00,40.6971666666667,-70.884,"toi_niskin","004",3,47.318,47.318,-338.58,14.8337,101,2.375,4.401,"1"
"AR39B",2019-10-06 03:49:39,2019-10-06 03:34:00,40.6971666666667,-70.884,"toi_niskin","004",11,2.364,2.3636,-94.357,20.311,29.4,0.2482,0.4225,"1"
"AR39B",2019-10-06 05:44:37,2019-10-06 05:34:00,40.5141666666667,-70.8836666666667,"toi_niskin","005",4,37.256,37.256,-133.84,19.4256,77.2,0.4869,0.7914,"1"
"AR39B",2019-10-06 05:50:01,2019-10-06 05:34:00,40.5141666666667,-70.8836666666667,"toi_niskin","005",7,2.514,2.5145,-89.564,20.4185,28.4,0.2305,0.3903,"1"
"AR39B",2019-10-06 14:32:14,2019-10-06 14:23:00,40.3633333333333,-70.8833333333333,"toi_niskin","006",9,41.789,41.789,-245.92,16.912,89.2,1.308,2.357,"1"
"AR39B",2019-10-06 14:36:57,2019-10-06 14:23:00,40.3633333333333,-70.8833333333333,"toi_niskin","006",20,7.707,7.7071,-96.587,20.261,35.7,0.3013,0.5129,"1"
"AR39B",2019-10-06 18:57:40,2019-10-06 18:47:00,40.365,-70.7748333333333,"toi_niskin","007",7,33.81,33.81,-92.292,20.3573,40.9,0.2594,0.422,"1"
"AR39B",2019-10-06 19:00:00,2019-10-06 19:00:00,NA,NA,"toi_underway",NA,NA,0,0,-93.403,20.3324,178,0.4197,0.4664,"1"
"AR39B",2019-10-06 19:00:04,2019-10-06 18:47:00,40.365,-70.7748333333333,"toi_niskin","007",10,7.845,7.845,-90.171,20.4049,38.9,0.2342,0.3773,"1"
"AR39B",2019-10-07 14:14:37,2019-10-07 14:03:00,40.1378333333333,-70.775,"toi_niskin","010",7,67.927,67.927,-271.54,16.3374,99.3,1.503,2.713,"1"
"AR39B",2019-10-07 14:16:11,2019-10-07 14:03:00,40.1378333333333,-70.775,"toi_niskin","010",10,55.714,55.714,-95.235,20.2913,39.3,0.2472,0.4017,"1"
"AR39B",2019-10-07 14:16:11,2019-10-07 14:03:00,40.1378333333333,-70.775,"toi_niskin","010",10,55.714,55.714,-95.625,20.2826,34.9,0.252,0.4193,"1"
"AR39B",2019-10-07 14:21:00,2019-10-07 14:21:00,NA,NA,"toi_underway",NA,NA,0,0,-95.594,20.2833,86.3,0.2956,0.4042,"1"
"AR39B",2019-10-07 14:22:00,2019-10-07 14:22:00,NA,NA,"toi_underway",NA,NA,0,0,-97.049,20.2507,101,0.3351,0.452,"1"
"AR39B",2019-10-07 18:53:28,2019-10-07 18:43:00,40.2266666666667,-70.883,"toi_niskin","011",7,57.079,57.079,-205.9,17.8095,84.5,0.9909,1.752,"1"
"AR39B",2019-10-07 18:59:00,2019-10-07 18:59:00,NA,NA,"toi_underway",NA,NA,0,0,-89.959,20.4097,92.5,0.2697,0.3422,"1"
"AR39B",2019-10-07 18:59:09,2019-10-07 18:43:00,40.2266666666667,-70.883,"toi_niskin","011",15,8.808,8.8076,-89.051,20.43,34.1,0.19,0.3011,"1"
"AR39B",2019-10-08 02:42:10,2019-10-08 02:30:00,40.0951666666667,-70.888,"toi_niskin","012",8,66.531,66.531,-303.05,15.6306,105,1.855,3.384,"1"
"AR39B",2019-10-08 02:46:31,2019-10-08 02:30:00,40.0951666666667,-70.888,"toi_niskin","012",14,8.445,8.4446,-91.684,20.371,39.2,0.217,0.3434,"1"
"AR39B",2019-10-08 02:46:31,2019-10-08 02:30:00,40.0951666666667,-70.888,"toi_niskin","012",14,8.445,8.4446,-92.252,20.3582,28.3,0.2207,0.3717,"1"
