"datetime_utc","latitude","longitude","toi_source","cast","niskin","depth_matlab","depth_API_bottle_summary","O2_Ar_delta","O2_Ar_ratio","cap_Delta_17","delta_17","delta_18"
2018-07-20 17:33:17,41.2023,-70.8855,"toi_niskin",1,3,12.5,12.108,-89.593,20.4179,119,-0.1059,-0.4343
2018-07-20 17:38:29,41.2031,-70.8855,"toi_niskin",1,10,2,1.891,-42.521,21.4736,80.5,-0.461,-1.045
2018-07-20 23:04:46,41.0316,-70.8795,"toi_niskin",2,5,24,24.23,-153.34,18.9882,113,0.4373,0.6261
2018-07-20 23:09:38,41.0321,-70.8789,"toi_niskin",2,14,10.5,9.873,78.584,24.1896,155,-0.9018,-2.039
2018-07-20 23:12:54,41.0324,-70.8785,"toi_niskin",2,18,2,2.95,-32.857,21.6903,76.7,-0.1282,-0.3954
2018-07-20 23:12:54,41.0324,-70.8785,"toi_niskin",2,18,2,2.95,-32.839,21.6907,68.2,-0.1394,-0.4008
2018-07-20 23:14:00,41.0325,-70.8784,"toi_underway",NA,NA,5,NA,-46.784,21.378,74.8,0.0025,-0.1395
2018-07-20 23:15:00,41.0327,-70.8783,"toi_underway",NA,NA,5,NA,-46.243,21.3901,71.8,0.0037,-0.1315
2018-07-21 01:21:47,41.0292,-70.7687,"toi_niskin",3,1,16,16.349,-57.625,21.1348,136,-0.489,-1.206
2018-07-21 01:25:33,41.0287,-70.7682,"toi_niskin",3,3,3,3.313,-42.159,21.4817,68.1,-0.0342,-0.1976
2018-07-21 00:32:00,41.0255,-70.6631,"toi_underway",NA,NA,5,NA,-54.296,21.2095,54.6,0.106,0.0993
2018-07-21 00:48:00,41.0297,-70.7203,"toi_underway",NA,NA,5,NA,-50.312,21.2988,60,0.1125,0.1014
2018-07-21 03:03:57,41.0295,-70.99,"toi_niskin",4,1,12,12.398,-123.51,19.6572,112,0.1303,0.0347
2018-07-21 03:06:56,41.0291,-70.9895,"toi_niskin",4,12,3,3.764,-39.712,21.5366,70,-0.0217,-0.177
2018-07-21 02:04:00,41.0309,-70.8408,"toi_underway",NA,NA,5,NA,-51.317,21.2763,69.7,0.0785,0.0171
2018-07-21 02:15:00,41.0281,-70.8813,"toi_underway",NA,NA,5,NA,-49.101,21.326,85.2,0.0453,-0.0768
2018-07-21 02:30:00,41.0271,-70.9367,"toi_underway",NA,NA,5,NA,-47.671,21.3581,72.8,0.0369,-0.0692
2018-07-21 03:39:00,41.0281,-71.0544,"toi_underway",NA,NA,5,NA,-45.233,21.4127,76.6,-0.0062,-0.1597
2018-07-21 04:03:00,41.0244,-71.0869,"toi_underway",NA,NA,5,NA,-46.114,21.393,78.8,-0.0297,-0.2094
2018-07-21 06:50:55,40.8644,-70.8855,"toi_niskin",5,3,30,29.851,-188.89,18.191,102,1.032,1.798
2018-07-21 06:57:02,40.8647,-70.8869,"toi_niskin",5,8,14,14.399,45.73,23.4528,148,-0.6273,-1.495
2018-07-21 07:03:02,40.865,-70.8883,"toi_niskin",5,14,2,1.624,-46.786,21.3779,46.5,0.0752,0.0556
2018-07-21 11:11:37,40.7019,-70.7724,"toi_niskin",6,1,20,20.048,-6.2247,22.2876,160,-0.4189,-1.117
2018-07-21 11:15:18,40.7023,-70.7723,"toi_niskin",6,4,2,2.112,-50.665,21.2909,68.1,0.1779,0.212
2018-07-21 10:23:00,40.6926,-70.67,"toi_underway",NA,NA,5,NA,-54.458,21.2059,59.2,0.2018,0.2755
2018-07-21 11:43:00,40.7017,-70.8282,"toi_underway",NA,NA,5,NA,-56.755,21.1543,61.7,0.2311,0.3272
2018-07-21 11:58:00,40.7002,-70.8836,"toi_underway",NA,NA,5,NA,-59.374,21.0956,70.3,0.2426,0.3328
2018-07-21 12:44:37,40.6991,-70.9924,"toi_niskin",7,1,20,20.386,-12.248,22.1525,134,-0.456,-1.139
2018-07-21 12:48:44,40.7,-70.9918,"toi_niskin",7,3,2,1.974,-46.002,21.3955,71.2,0.1182,0.0907
2018-07-21 12:14:00,40.6987,-70.9438,"toi_underway",NA,NA,5,NA,-53.441,21.2287,66.7,0.1729,0.2052
2018-07-21 13:32:00,40.6966,-71.1029,"toi_underway",NA,NA,5,NA,-49.16,21.3247,63.5,0.1336,0.1354
2018-07-21 15:13:00,40.7019,-70.8767,"toi_underway",NA,NA,5,NA,-47.364,21.365,67.4,0.1234,0.1083
2018-07-21 15:15:00,40.7021,-70.8763,"toi_underway",NA,NA,5,NA,-47.218,21.3682,79.3,0.1432,0.1235
2018-07-21 14:57:09,40.6995,-70.8799,"toi_niskin",8,1,60,59.428,-251.26,16.7921,86.5,1.789,3.294
2018-07-21 15:01:47,40.7003,-70.8792,"toi_niskin",8,3,45,44.419,-107.27,20.0215,59.9,0.6457,1.132
2018-07-21 15:04:36,40.7007,-70.8785,"toi_niskin",8,6,34,24.629,-140.74,19.2708,114,0.5588,0.8601
2018-07-21 15:10:25,40.7014,-70.8774,"toi_niskin",8,12,12,12.414,34.273,23.1959,139,-0.4183,-1.076
2018-07-21 15:12:54,40.7019,-70.8767,"toi_niskin",8,15,2,2.292,-43.907,21.4425,73,0.1055,0.0628
