"cruise","datetime_utc","datetime_utc_matlab","latitude_matlab","longitude_matlab","latitude_API","longitude_API","toi_source","gop","ncp","ncp_per_gop","iode_quality_flag"
"EN627",2019-02-01 21:54:47,2019-02-01 21:39:00,41.1939,-70.8843,41.19844,-70.8797,"toi_niskin",NA,NA,NA,9
"EN627",2019-02-02 01:25:00,2019-02-02 01:25:00,41.0309,-70.6707,41.0309,-70.6706,"toi_underway",NA,NA,NA,9
"EN627",2019-02-02 01:43:00,2019-02-02 01:43:00,41.0329,-70.7297,41.0329,-70.7297,"toi_underway",NA,NA,NA,9
"EN627",2019-02-02 02:24:58,2019-02-02 02:18:00,41.0288,-70.7637,41.02792,-70.76138,"toi_niskin",55.25,31.34,0.567,1
"EN627",2019-02-02 03:00:00,2019-02-02 03:00:00,41.0262,-70.8385,41.0262,-70.8385,"toi_underway",85.02,NA,NA,1
"EN627",2019-02-02 03:15:00,2019-02-02 03:15:00,41.0283,-70.8862,41.0283,-70.8862,"toi_underway",27.71,34.15,1.23,1
"EN627",2019-02-02 03:34:00,2019-02-02 03:34:00,41.0272,-70.9396,41.0272,-70.9396,"toi_underway",104.3,29.19,0.28,1
"EN627",2019-02-02 04:11:17,2019-02-02 04:03:00,41.0259,-70.9907,41.02375,-70.98886,"toi_niskin",92.08,22.6,0.245,1
"EN627",2019-02-02 04:56:00,2019-02-02 04:56:00,41.0076,-71.0594,41.0076,-71.0594,"toi_underway",82.3,20.02,0.243,1
"EN627",2019-02-02 05:12:00,2019-02-02 05:12:00,41.0297,-71.1048,41.0297,-71.1048,"toi_underway",60.88,22.04,0.362,1
"EN627",2019-02-02 06:41:26,2019-02-02 06:29:00,41.0284,-70.8817,41.02568,-70.87918,"toi_niskin",48.74,30.96,0.635,1
"EN627",2019-02-02 06:41:26,2019-02-02 06:29:00,41.0284,-70.8817,41.02568,-70.87918,"toi_niskin",70.94,30.78,0.434,1
"EN627",2019-02-02 06:43:00,2019-02-02 06:43:00,41.0254,-70.8788,41.0254,-70.8788,"toi_underway",48.07,29.52,0.614,1
"EN627",2019-02-02 06:45:00,2019-02-02 06:45:00,41.025,-70.8784,41.025,-70.8784,"toi_underway",72.49,29.26,0.404,1
"EN627",2019-02-02 10:17:37,2019-02-02 10:02:00,40.8629,-70.8846,40.8643,-70.88788,"toi_niskin",64.39,5.634,0.0875,1
"EN627",2019-02-02 14:29:00,2019-02-02 14:29:00,40.6959,-70.6688,40.6959,-70.6687,"toi_underway",31.89,-11.1,-0.348,1
"EN627",2019-02-02 14:45:00,2019-02-02 14:45:00,40.6974,-70.7201,40.6974,-70.7201,"toi_underway",41.47,-6.003,-0.145,1
"EN627",2019-02-02 15:23:35,2019-02-02 15:14:00,40.6937,-70.7695,40.69208,-70.76662,"toi_niskin",7.293,-3.996,-0.548,1
"EN627",2019-02-02 15:53:00,2019-02-02 15:53:00,40.6897,-70.8288,40.6897,-70.8288,"toi_underway",6.314,1.964,0.311,1
"EN627",2019-02-02 16:08:00,2019-02-02 16:08:00,40.6904,-70.881,40.6904,-70.881,"toi_underway",-1.779,2.855,-1.6,1
"EN627",2019-02-02 16:25:00,2019-02-02 16:25:00,40.6938,-70.9402,40.6938,-70.9402,"toi_underway",38.93,12.45,0.32,1
"EN627",2019-02-02 17:06:15,2019-02-02 16:57:00,40.6946,-70.9877,40.69404,-70.98485,"toi_niskin",58.15,12.55,0.216,1
"EN627",2019-02-02 17:36:00,2019-02-02 17:36:00,40.6953,-71.0531,40.6953,-71.0531,"toi_underway",62.74,18.93,0.302,1
"EN627",2019-02-02 17:51:00,2019-02-02 17:51:00,40.6962,-71.1062,40.6964,-71.1064,"toi_underway",80.2,19.99,0.249,1
"EN627",2019-02-02 20:13:23,2019-02-02 19:51:00,40.6977,-70.886,40.6981,-70.8781,"toi_niskin",54.33,13.54,0.249,1
"EN627",2019-02-02 20:13:23,2019-02-02 19:59:00,40.6975,-70.8832,40.6981,-70.8781,"toi_niskin",83.83,13.06,0.156,1
"EN627",2019-02-02 20:12:00,2019-02-02 20:12:00,40.6981,-70.8786,40.6981,-70.8786,"toi_underway",113,11.3,0.1,1
"EN627",2019-02-02 20:14:00,2019-02-02 20:14:00,40.6981,-70.8778,40.6981,-70.8778,"toi_underway",51.6,12.13,0.235,1
"EN627",2019-02-02 23:40:37,2019-02-02 23:26:00,40.5089,-70.8806,40.5054,-70.8776,"toi_niskin",30.19,-10.84,-0.359,1
"EN627",2019-02-03 04:59:00,2019-02-03 04:59:00,40.362,-70.663,40.362,-70.663,"toi_underway",58.2,-7.654,-0.132,1
"EN627",2019-02-03 05:23:00,2019-02-03 05:23:00,40.363,-70.7218,40.363,-70.7218,"toi_underway",25.84,-2.338,-0.0905,1
"EN627",2019-02-03 06:20:58,2019-02-03 06:10:00,40.3548,-70.7638,40.35127,-70.76679,"toi_niskin",65.04,-2.483,-0.0382,1
"EN627",2019-02-03 07:10:00,2019-02-03 07:10:00,40.3612,-70.8397,40.3612,-70.8397,"toi_underway",51,1.653,0.0324,1
"EN627",2019-02-03 07:27:00,2019-02-03 07:27:00,40.3631,-70.8857,40.3631,-70.8858,"toi_underway",47.17,6.197,0.131,1
"EN627",2019-02-03 07:48:00,2019-02-03 07:48:00,40.3628,-70.942,40.3628,-70.942,"toi_underway",30.98,10.87,0.351,1
"EN627",2019-02-03 08:27:15,2019-02-03 08:18:00,40.3621,-70.9946,40.36106,-70.99762,"toi_niskin",30.82,7.251,0.235,1
"EN627",2019-02-03 09:16:00,2019-02-03 09:16:00,40.3613,-71.102,40.3613,-71.102,"toi_underway",24.32,1.853,0.0762,1
"EN627",2019-02-03 11:04:06,2019-02-03 10:47:00,40.3624,-70.8873,40.3637,-70.8916,"toi_niskin",27.97,5.71,0.204,1
"EN627",2019-02-03 11:06:00,2019-02-03 11:06:00,40.3639,-70.8921,40.3639,-70.8922,"toi_underway",49.06,-2.883,-0.0588,1
"EN627",2019-02-03 14:15:25,2019-02-03 13:51:00,40.2282,-70.8874,40.22882,-70.88262,"toi_niskin",47.07,17.24,0.366,1
"EN627",2019-02-03 18:09:53,2019-02-03 17:42:00,40.1351,-70.764,40.1349,-70.76216,"toi_niskin",35.21,12.11,0.344,1
"EN627",2019-02-03 18:08:00,2019-02-03 18:08:00,40.1349,-70.7623,40.1349,-70.7623,"toi_underway",56.69,8.715,0.154,1
"EN627",2019-02-03 18:10:00,2019-02-03 18:10:00,40.1349,-70.7622,40.1349,-70.7622,"toi_underway",72.7,8.867,0.122,1
"EN627",2019-02-03 20:57:00,2019-02-03 20:57:00,40.0968,-70.6611,40.0968,-70.6611,"toi_underway",59.16,25.49,0.431,1
"EN627",2019-02-03 21:58:30,2019-02-03 21:43:00,40.0991,-70.7715,40.10084,-70.77092,"toi_niskin",51.95,21.55,0.415,1
"EN627",2019-02-03 22:31:00,2019-02-03 22:31:00,40.1003,-70.8237,40.1003,-70.8237,"toi_underway",33.02,26.65,0.807,1
"EN627",2019-02-03 22:46:00,2019-02-03 22:46:00,40.0999,-70.8804,40.0999,-70.8804,"toi_underway",117.3,30.59,0.261,1
"EN627",2019-02-03 23:01:00,2019-02-03 23:01:00,40.0985,-70.9353,40.0985,-70.9353,"toi_underway",62.69,18.51,0.295,1
"EN627",2019-02-03 23:45:18,2019-02-03 23:29:00,40.0987,-70.9913,40.09984,-70.98784,"toi_niskin",53.15,31.08,0.585,1
"EN627",2019-02-04 00:27:00,2019-02-04 00:27:00,40.0994,-71.0498,40.0994,-71.0498,"toi_underway",107.7,22.98,0.213,1
"EN627",2019-02-04 00:42:00,2019-02-04 00:42:00,40.0987,-71.1007,40.0987,-71.1007,"toi_underway",59.7,23.91,0.4,1
"EN627",2019-02-04 02:17:03,2019-02-04 01:52:00,40.0982,-70.8859,40.09796,-70.88002,"toi_niskin",68.54,31.68,0.462,1
