"cruise","datetime_utc","latitude","longitude","depth","temperature","salinity","ncp","k"
"AT46",2022-02-16 17:12:05,41.2566,-70.8902,5,3.53924,32.6822,16.04,3.78
"AT46",2022-02-16 17:12:30,41.2551,-70.89,5,3.53869,32.6809,16.13,3.78
"AT46",2022-02-16 17:12:55,41.2535,-70.89,5,3.53753,32.6797,16.49,3.78
"AT46",2022-02-16 17:13:20,41.2518,-70.8899,5,3.53641,32.6785,17.48,3.79
"AT46",2022-02-16 17:13:43,41.2507,-70.8896,5,3.53576,32.6774,18.85,3.79
"AT46",2022-02-16 17:14:08,41.2495,-70.8892,5,3.53506,32.6763,20.18,3.79
"AT46",2022-02-16 17:14:34,41.2482,-70.889,5,3.53435,32.6782,21.17,3.79
"AT46",2022-02-16 17:14:59,41.2469,-70.889,5,3.53368,32.6816,21.79,3.79
"AT46",2022-02-16 17:15:24,41.2455,-70.8889,5,3.53357,32.685,22.33,3.79
"AT46",2022-02-16 17:15:49,41.2439,-70.8885,5,3.53491,32.688,22.48,3.79
"AT46",2022-02-16 17:16:14,41.2422,-70.8881,5,3.53624,32.6911,23.13,3.79
"AT46",2022-02-16 17:16:40,41.2409,-70.888,5,3.53839,32.6925,23.66,3.8
"AT46",2022-02-16 17:17:05,41.2396,-70.888,5,3.54056,32.6936,24.36,3.8
"AT46",2022-02-16 17:17:30,41.2381,-70.8878,5,3.54275,32.6939,24.19,3.8
"AT46",2022-02-16 17:17:55,41.2365,-70.8874,5,3.54496,32.6936,24.22,3.8
"AT46",2022-02-16 17:18:21,41.2348,-70.887,5,3.54731,32.6935,23.86,3.8
"AT46",2022-02-16 17:18:46,41.2335,-70.887,5,3.5499,32.6945,23.8,3.8
"AT46",2022-02-16 17:19:11,41.2323,-70.887,5,3.55248,32.6956,23.87,3.8
"AT46",2022-02-16 17:19:36,41.2311,-70.8867,5,3.55497,32.6976,24.92,3.81
"AT46",2022-02-16 17:20:01,41.2298,-70.8863,5,3.55743,32.6999,26.3,3.81
"AT46",2022-02-16 17:20:26,41.2284,-70.886,5,3.56037,32.7016,27.47,3.81
"AT46",2022-02-16 17:20:51,41.2267,-70.886,5,3.56416,32.702,28.23,3.81
"AT46",2022-02-16 17:21:16,41.2251,-70.886,5,3.56795,32.7024,28.42,3.81
