attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
cruise	Identifier for research cruise generally including abbreviation for research vessel and voyage number	character				
datetime_utc	Data product UTC date and time	Date		YYYY-MM-DD hh:mm:ss		
datetime_utc_matlab	PI-provided UTC date and time	Date		YYYY-MM-DD hh:mm:ss		
latitude_matlab	Latitude of sample event provided by PI	numeric	degree			
longitude_matlab	Longitude of sample event provided by PI	numeric	degree			
latitude_API	Latitude of sample event provided by NES-LTER API	numeric	degree			
longitude_API	Longitude of sample event provided by NES-LTER API	numeric	degree			
toi_source	Bottle sample from niskin or underway	categorical				
gop	Gross oxygen production	numeric	millimoleOxygenPerMeterSquaredPerDay		NaN	Missing value
ncp	Rate of net community production integrated over the mixed layer	numeric	millimoleOxygenPerMeterSquaredPerDay		NaN	Missing value
ncp_per_gop	Net community production divided by gross oxygen production	numeric	dimensionless		NaN	Missing value
