attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
utc_datetime	Date and time in UTC	Date		YYYY-MM-DD hh:mm:ss		
matlab_datetime	UTC date and time in MATLAB serial date number format	numeric	dimensionless			
lat	Latitude of sample event	numeric	degree			
lon	Longitude of sample event	numeric	degree			
temp	Temperature of sampling	numeric	celsius		NaN	Missing value
sal	Salinity of sampling in PSU	numeric	dimensionless		NaN	Missing value
biosat	Biological saturation, the oxygen-argon ratio divided by the equilibrium value of that ratio	numeric	dimensionless		NaN	Missing value
O2_Ar_corrected	Oxygen-argon ratio corrected for air values	numeric	dimensionless		NaN	Missing value
ncp	Rate of net community production integrated over the mixed layer	numeric	micromolePerMeterSquaredPerDay		NaN	Missing value
k	Gas transfer velocity that was used when calculating ncp from the O2/Ar ratio	numeric	metersPerDay		NaN	Missing value
