"cruise","datetime_utc","datetime_utc_matlab","latitude_matlab","longitude_matlab","latitude_API","longitude_API","toi_source","gop","ncp","ncp_per_gop","iode_quality_flag"
"EN644",2019-08-20 19:17:48,2019-08-20 19:02:00,41.1969,-70.8813,41.19686,-70.87768,"toi_niskin",129.8,21.13,0.163,1
"EN644",2019-08-21 00:48:09,2019-08-21 00:35:00,41.0243,-70.8721,41.0237,-70.87156,"toi_niskin",211.8,17.98,0.0849,1
"EN644",2019-08-21 00:48:09,2019-08-21 00:35:00,41.0243,-70.8721,41.0237,-70.87156,"toi_niskin",206.5,17.67,0.0856,1
"EN644",2019-08-21 00:48:00,2019-08-21 00:48:00,41.0237,-70.8716,41.0237,-70.8716,"toi_underway",227.3,23.55,0.104,1
"EN644",2019-08-21 00:50:00,2019-08-21 00:50:00,41.0236,-70.8715,41.0236,-70.8715,"toi_underway",259.5,25.05,0.0965,1
"EN644",2019-08-21 02:02:00,2019-08-21 02:02:00,41.0305,-70.6581,41.0305,-70.6581,"toi_underway",134.8,45.97,0.341,1
"EN644",2019-08-21 02:22:00,2019-08-21 02:22:00,41.0314,-70.7214,41.0314,-70.7214,"toi_underway",119.1,36,0.302,1
"EN644",2019-08-21 02:36:00,2019-08-21 02:36:00,41.0287,-70.7703,41.0287,-70.7703,"toi_underway",169.4,32,0.189,1
"EN644",2019-08-21 03:21:00,2019-08-21 03:21:00,41.0327,-70.8228,41.0327,-70.8228,"toi_underway",136.3,18.84,0.138,1
"EN644",2019-08-21 03:53:00,2019-08-21 03:53:00,41.0329,-70.9363,41.0329,-70.9363,"toi_underway",82.54,31.53,0.382,1
"EN644",2019-08-21 04:10:00,2019-08-21 04:10:00,41.0299,-70.9932,41.0299,-70.9932,"toi_underway",95,42.59,0.448,1
"EN644",2019-08-21 05:09:00,2019-08-21 05:09:00,41.0307,-71.0666,41.0307,-71.0666,"toi_underway",100.1,38.05,0.38,1
"EN644",2019-08-21 05:22:00,2019-08-21 05:22:00,41.0314,-71.1118,41.0313,-71.1119,"toi_underway",92.16,37.16,0.403,1
"EN644",2019-08-21 07:53:37,2019-08-21 07:38:00,40.8626,-70.8816,40.8632,-70.87892,"toi_niskin",106.9,34.11,0.319,1
"EN644",2019-08-21 08:39:00,2019-08-21 08:39:00,40.8737,-70.8634,40.8737,-70.8634,"toi_underway",139.1,14.43,0.104,1
"EN644",2019-08-21 13:24:00,2019-08-21 13:24:00,40.8418,-70.878,40.8418,-70.878,"toi_underway",27.71,36.25,1.31,1
"EN644",2019-08-21 15:14:00,2019-08-21 15:14:00,40.6994,-70.8789,40.6994,-70.8789,"toi_underway",136.2,55.84,0.41,1
"EN644",2019-08-21 17:33:00,2019-08-21 17:33:00,40.5145,-70.8743,40.5145,-70.8743,"toi_underway",108.2,30.1,0.278,1
"EN644",2019-08-21 19:19:00,2019-08-21 19:19:00,40.3673,-70.8748,40.3673,-70.8748,"toi_underway",108.3,30.67,0.283,1
"EN644",2019-08-21 20:51:25,2019-08-21 20:27:00,40.3594,-70.8754,40.35264,-70.87438,"toi_niskin",90.42,19.57,0.216,1
"EN644",2019-08-22 04:55:00,2019-08-22 04:55:00,40.1132,-70.7777,40.1132,-70.7777,"toi_underway",40.85,4.79,0.117,1
"EN644",2019-08-22 08:22:00,2019-08-22 08:22:00,40.0988,-70.6686,40.0988,-70.6686,"toi_underway",31.6,5.217,0.165,1
"EN644",2019-08-22 08:39:00,2019-08-22 08:39:00,40.0988,-70.7218,40.0988,-70.7218,"toi_underway",16.4,4.319,0.263,1
"EN644",2019-08-22 08:56:00,2019-08-22 08:56:00,40.0976,-70.7709,40.0976,-70.7709,"toi_underway",42.96,4.815,0.112,1
"EN644",2019-08-22 09:44:00,2019-08-22 09:44:00,40.1002,-70.8222,40.1002,-70.8222,"toi_underway",30.82,4.551,0.148,1
"EN644",2019-08-22 10:03:00,2019-08-22 10:03:00,40.0984,-70.8879,40.0984,-70.8879,"toi_underway",31.5,6.214,0.197,1
"EN644",2019-08-22 10:18:00,2019-08-22 10:18:00,40.0979,-70.9395,40.0979,-70.9395,"toi_underway",45.56,8.251,0.181,1
"EN644",2019-08-22 10:33:00,2019-08-22 10:33:00,40.0985,-70.9897,40.0986,-70.9898,"toi_underway",37.61,7.969,0.212,1
"EN644",2019-08-22 11:18:00,2019-08-22 11:18:00,40.0977,-71.0503,40.0977,-71.0503,"toi_underway",71.94,13.63,0.189,1
"EN644",2019-08-22 11:37:00,2019-08-22 11:37:00,40.1005,-71.1114,40.1006,-71.1116,"toi_underway",77.78,14.09,0.181,1
"EN644",2019-08-22 12:47:00,2019-08-22 12:47:00,40.0949,-70.8841,40.0949,-70.8841,"toi_underway",29.51,6.928,0.235,1
"EN644",2019-08-22 13:25:16,2019-08-22 12:57:00,40.0935,-70.8875,40.08858,-70.8955,"toi_niskin",33.32,6.535,0.196,1
"EN644",2019-08-22 13:37:00,2019-08-22 13:37:00,40.0854,-70.8996,40.0854,-70.8996,"toi_underway",32.13,6.781,0.211,1
"EN644",2019-08-22 16:23:00,2019-08-22 16:23:00,39.9981,-70.8846,39.9981,-70.8846,"toi_underway",NA,NA,NA,4
"EN644",2019-08-22 16:32:00,2019-08-22 16:32:00,39.9762,-70.8838,39.9762,-70.8838,"toi_underway",27.12,3.905,0.144,1
"EN644",2019-08-22 17:28:50,2019-08-22 16:55:00,39.9379,-70.8861,39.93418,-70.88492,"toi_niskin",23.25,3.706,0.159,1
"EN644",2019-08-22 17:28:50,2019-08-22 16:55:00,39.9379,-70.8861,39.93418,-70.88492,"toi_niskin",18.67,3.252,0.174,1
"EN644",2019-08-22 17:29:00,2019-08-22 17:29:00,39.9342,-70.8849,39.9342,-70.8849,"toi_underway",14.81,2.852,0.193,1
"EN644",2019-08-22 18:59:00,2019-08-22 18:59:00,39.9399,-70.8523,39.9399,-70.8523,"toi_underway",25.9,3.76,0.145,1
"EN644",2019-08-22 19:59:03,2019-08-22 19:34:00,39.9334,-70.7751,39.92861,-70.76985,"toi_niskin",45.45,3.979,0.0875,1
"EN644",2019-08-22 20:30:00,2019-08-22 20:30:00,39.8812,-70.7998,39.8812,-70.7998,"toi_underway",32.8,4.689,0.143,1
"EN644",2019-08-22 22:16:52,2019-08-22 21:59:00,39.7717,-70.7738,39.76776,-70.7726,"toi_niskin",18.67,3.824,0.205,1
"EN644",2019-08-22 22:18:00,2019-08-22 22:18:00,39.7676,-70.7725,39.7676,-70.7725,"toi_underway",14.93,4.025,0.27,1
"EN644",2019-08-22 22:51:00,2019-08-22 22:51:00,39.7678,-70.8347,39.7678,-70.8347,"toi_underway",33.96,3.836,0.113,1
"EN644",2019-08-22 23:06:00,2019-08-22 23:06:00,39.7717,-70.8836,39.7717,-70.8836,"toi_underway",31.66,3.681,0.116,1
"EN644",2019-08-22 23:22:00,2019-08-22 23:22:00,39.773,-70.9362,39.773,-70.9362,"toi_underway",43.62,3.367,0.0772,1
"EN644",2019-08-23 01:56:46,2019-08-23 00:57:00,39.7723,-70.8796,39.75754,-70.87641,"toi_niskin",28.28,2.888,0.102,1
"EN644",2019-08-23 13:51:00,2019-08-23 13:51:00,40.0124,-70.8801,40.0124,-70.8801,"toi_underway",NA,NA,NA,4
"EN644",2019-08-23 16:00:00,2019-08-23 16:00:00,40.1081,-70.8845,40.1081,-70.8845,"toi_underway",16.79,6.322,0.377,1
"EN644",2019-08-23 16:00:00,2019-08-23 16:00:00,40.1081,-70.8845,40.1081,-70.8845,"toi_underway",50.25,10.44,0.208,1
"EN644",2019-08-23 18:01:00,2019-08-23 18:01:00,40.2201,-70.8799,40.2201,-70.8799,"toi_underway",110.2,28.71,0.261,1
"EN644",2019-08-23 18:28:00,2019-08-23 18:28:00,40.254,-70.8815,40.254,-70.8815,"toi_underway",126.1,37.39,0.296,1
"EN644",2019-08-23 21:01:00,2019-08-23 21:01:00,40.3631,-70.6543,40.3631,-70.6543,"toi_underway",111.5,28.05,0.251,1
"EN644",2019-08-23 21:31:00,2019-08-23 21:31:00,40.3623,-70.7242,40.3623,-70.7242,"toi_underway",133.8,28.84,0.216,1
"EN644",2019-08-23 22:25:00,2019-08-23 22:25:00,40.3604,-70.8291,40.3604,-70.8291,"toi_underway",123.8,26.35,0.213,1
"EN644",2019-08-23 22:38:00,2019-08-23 22:38:00,40.3603,-70.8771,40.3603,-70.8771,"toi_underway",83.07,23.93,0.288,1
"EN644",2019-08-23 22:53:00,2019-08-23 22:53:00,40.3613,-70.9322,40.3613,-70.9322,"toi_underway",83.71,20.31,0.243,1
"EN644",2019-08-24 00:04:00,2019-08-24 00:04:00,40.3626,-71.1005,40.3626,-71.1005,"toi_underway",56.76,7.253,0.128,1
"EN644",2019-08-24 00:06:00,2019-08-24 00:06:00,40.3642,-71.1062,40.3641,-71.1065,"toi_underway",NA,NA,NA,4
"EN644",2019-08-24 01:40:05,2019-08-24 01:28:00,40.3685,-70.8754,40.37096,-70.87518,"toi_niskin",78.19,17.28,0.221,1
"EN644",2019-08-24 03:10:41,2019-08-24 02:50:00,40.5125,-70.8823,40.51578,-70.88436,"toi_niskin",101,22.66,0.224,1
"EN644",2019-08-24 03:11:00,2019-08-24 03:11:00,40.5159,-70.8844,40.5159,-70.8844,"toi_underway",108,22.88,0.212,1
"EN644",2019-08-24 05:34:11,2019-08-24 05:17:00,40.6976,-70.8969,40.69798,-70.90149,"toi_niskin",111.5,29.88,0.268,1
"EN644",2019-08-24 05:34:11,2019-08-24 05:17:00,40.6976,-70.8969,40.69798,-70.90149,"toi_niskin",134.7,28.59,0.212,1
"EN644",2019-08-24 05:34:00,2019-08-24 05:34:00,40.698,-70.9015,40.698,-70.9015,"toi_underway",124.8,28.15,0.225,1
"EN644",2019-08-24 05:35:00,2019-08-24 05:35:00,40.698,-70.9018,40.698,-70.9018,"toi_underway",97.05,29.74,0.306,1
"EN644",2019-08-24 06:58:00,2019-08-24 06:58:00,40.6939,-70.6507,40.6939,-70.6507,"toi_underway",80,22.54,0.282,1
"EN644",2019-08-24 07:23:00,2019-08-24 07:23:00,40.696,-70.7215,40.696,-70.7215,"toi_underway",90.64,24.66,0.272,1
"EN644",2019-08-24 08:02:53,2019-08-24 07:55:00,40.6966,-70.7756,40.69712,-70.77736,"toi_niskin",NA,NA,NA,4
"EN644",2019-08-24 08:43:00,2019-08-24 08:43:00,40.7015,-70.8284,40.7015,-70.8284,"toi_underway",109.1,25.84,0.237,1
"EN644",2019-08-24 09:08:00,2019-08-24 09:08:00,40.7003,-70.9016,40.7003,-70.9016,"toi_underway",107.4,27.42,0.255,1
"EN644",2019-08-24 09:20:00,2019-08-24 09:20:00,40.6989,-70.9448,40.6989,-70.9448,"toi_underway",76.39,25.73,0.337,1
"EN644",2019-08-24 09:52:43,2019-08-24 09:43:00,40.6973,-70.9947,40.6984,-70.99634,"toi_niskin",86.56,21.64,0.25,1
