"cruise","datetime_utc","datetime_utc_matlab","latitude_matlab","longitude_matlab","latitude_API","longitude_API","toi_source","gop","ncp","ncp_per_gop","iode_quality_flag"
"EN608",2018-01-31 19:45:36,2018-01-31 19:23:00,41.1965,-70.8794,41.19644,-70.8777,"toi_niskin",137.7,59.68,0.433,1
"EN608",2018-02-01 00:37:55,2018-02-01 00:29:00,41.0286,-70.6532,41.02868,-70.64938,"toi_niskin",37.73,-16.29,-0.432,1
"EN608",2018-02-01 01:06:00,2018-02-01 01:06:00,41.0307,-70.6962,41.0307,-70.6962,"toi_underway",86.59,-4.71,-0.0544,1
"EN608",2018-02-01 01:25:00,2018-02-01 01:25:00,41.0237,-70.7586,41.0237,-70.7586,"toi_underway",103.9,7.266,0.0699,1
"EN608",2018-02-01 02:04:00,2018-02-01 02:04:00,41.021,-70.8869,41.021,-70.8869,"toi_underway",80.08,19.34,0.241,1
"EN608",2018-02-01 02:43:00,2018-02-01 02:43:00,41.027,-71.0112,41.027,-71.0112,"toi_underway",129,28.64,0.222,1
"EN608",2018-02-01 02:59:00,2018-02-01 02:59:00,41.0315,-71.0596,41.0315,-71.0596,"toi_underway",108.4,38.56,0.356,1
"EN608",2018-02-01 03:39:58,2018-02-01 03:32:00,41.0272,-71.0977,41.02532,-71.09385,"toi_niskin",104.9,49.16,0.469,1
"EN608",2018-02-01 05:52:14,2018-02-01 05:40:00,41.0219,-70.8727,41.0187,-70.87068,"toi_niskin",140,26.66,0.19,1
"EN608",2018-02-01 05:52:14,2018-02-01 05:40:00,41.0219,-70.8727,41.0187,-70.87068,"toi_niskin",91.01,28.65,0.315,1
"EN608",2018-02-01 05:51:00,2018-02-01 05:51:00,41.019,-70.8708,41.019,-70.8708,"toi_underway",118.8,23.58,0.198,1
"EN608",2018-02-01 05:53:00,2018-02-01 05:53:00,41.0184,-70.8706,41.0184,-70.8706,"toi_underway",82.32,23.64,0.287,1
"EN608",2018-02-01 09:33:01,2018-02-01 09:18:00,40.8593,-70.8839,40.85601,-70.88438,"toi_niskin",146,11.72,0.0803,1
"EN608",2018-02-01 13:56:43,2018-02-01 13:48:00,40.6931,-70.6569,40.68994,-70.65543,"toi_niskin",90.81,17.85,0.197,1
"EN608",2018-02-01 14:38:00,2018-02-01 14:38:00,40.6887,-70.6994,40.6887,-70.6994,"toi_underway",99.08,17.77,0.179,1
"EN608",2018-02-01 15:04:00,2018-02-01 15:04:00,40.6909,-70.7639,40.6909,-70.7639,"toi_underway",80.1,21.32,0.266,1
"EN608",2018-02-01 15:27:00,2018-02-01 15:27:00,40.692,-70.8228,40.692,-70.8228,"toi_underway",141.3,23.47,0.166,1
"EN608",2018-02-01 15:45:00,2018-02-01 15:45:00,40.6927,-70.8696,40.6927,-70.8696,"toi_underway",165.3,16.76,0.101,1
"EN608",2018-02-01 16:14:00,2018-02-01 16:14:00,40.6944,-70.9446,40.6944,-70.9446,"toi_underway",84.21,20.64,0.245,1
"EN608",2018-02-01 16:35:00,2018-02-01 16:35:00,40.6943,-70.9989,40.6943,-70.9989,"toi_underway",134.9,16.68,0.124,1
"EN608",2018-02-01 17:00:00,2018-02-01 17:00:00,40.6964,-71.0636,40.6964,-71.0636,"toi_underway",106.5,31.22,0.293,1
"EN608",2018-02-01 17:31:00,2018-02-01 17:31:00,40.6919,-71.0979,40.6919,-71.0979,"toi_underway",76.2,26.24,0.344,1
"EN608",2018-02-01 19:30:48,2018-02-01 19:16:00,40.6972,-70.8855,40.69306,-70.88426,"toi_niskin",91.15,22.84,0.251,1
"EN608",2018-02-01 19:30:48,2018-02-01 19:16:00,40.6972,-70.8855,40.69306,-70.88426,"toi_niskin",61.46,22.22,0.362,1
"EN608",2018-02-01 19:33:00,2018-02-01 19:33:00,40.6923,-70.8842,40.6923,-70.8842,"toi_underway",171.2,24.86,0.145,1
"EN608",2018-02-01 19:35:00,2018-02-01 19:35:00,40.6917,-70.8841,40.6917,-70.8841,"toi_underway",191.6,24.5,0.128,1
"EN608",2018-02-01 23:48:59,2018-02-01 23:33:00,40.5245,-70.8935,40.52209,-70.89656,"toi_niskin",134.1,-1.676,-0.0125,1
"EN608",2018-02-02 04:10:35,2018-02-02 03:59:00,40.3612,-70.6634,40.35944,-70.66133,"toi_niskin",61.87,-31.31,-0.506,1
"EN608",2018-02-02 04:41:00,2018-02-02 04:41:00,40.3583,-70.6978,40.3583,-70.6978,"toi_underway",85.57,-21.96,-0.257,1
"EN608",2018-02-02 05:00:00,2018-02-02 05:00:00,40.3603,-70.7591,40.3603,-70.7591,"toi_underway",39.73,-9.422,-0.237,1
"EN608",2018-02-02 05:18:00,2018-02-02 05:18:00,40.3577,-70.8164,40.3577,-70.8164,"toi_underway",95.31,-3.437,-0.0361,1
"EN608",2018-02-02 05:40:00,2018-02-02 05:40:00,40.3534,-70.8872,40.3534,-70.8872,"toi_underway",54.78,-8.291,-0.151,1
"EN608",2018-02-02 05:59:00,2018-02-02 05:59:00,40.357,-70.9504,40.357,-70.9504,"toi_underway",36.68,-10.11,-0.276,1
"EN608",2018-02-02 06:16:00,2018-02-02 06:16:00,40.3609,-71.0071,40.3609,-71.0071,"toi_underway",80.31,-1.28,-0.0159,1
"EN608",2018-02-02 07:09:01,2018-02-02 06:58:00,40.3617,-71.1034,40.36017,-71.1034,"toi_niskin",3.543,-7.258,-2.05,1
"EN608",2018-02-02 09:32:54,2018-02-02 09:14:00,40.3591,-70.8796,40.35612,-70.87999,"toi_niskin",116.3,-9.291,-0.0799,1
"EN608",2018-02-02 15:39:42,2018-02-02 15:15:00,40.2147,-70.8941,40.2123,-70.90126,"toi_niskin",90.98,-13.38,-0.147,1
"EN608",2018-02-02 19:26:00,2018-02-02 19:26:00,40.1193,-70.8071,40.1193,-70.8071,"toi_underway",99.46,-4.006,-0.0403,1
"EN608",2018-02-02 19:28:00,2018-02-02 19:28:00,40.1186,-70.8078,40.1186,-70.8078,"toi_underway",47.99,-6.04,-0.126,1
"EN608",2018-02-03 00:37:41,2018-02-03 00:25:00,40.0963,-70.6647,40.09432,-70.66957,"toi_niskin",129.6,-11.93,-0.0921,1
"EN608",2018-02-03 01:16:00,2018-02-03 01:16:00,40.0973,-70.7048,40.0973,-70.7048,"toi_underway",143.1,-14.07,-0.0983,1
"EN608",2018-02-03 01:42:00,2018-02-03 01:42:00,40.0966,-70.7584,40.0966,-70.7584,"toi_underway",31.84,-1.485,-0.0466,1
"EN608",2018-02-03 02:13:00,2018-02-03 02:13:00,40.0964,-70.828,40.0964,-70.828,"toi_underway",113.9,-13.58,-0.119,1
