"cruise","datetime_utc_matlab","latitude_matlab","longitude_matlab","depth","ncp","k"
"EN608",2018-01-31 18:02:08,41.1975,-70.8796,5,6.831,6.05
"EN608",2018-01-31 18:02:20,41.1975,-70.8795,5,7.043,6.05
"EN608",2018-01-31 18:02:31,41.1975,-70.8795,5,8.828,6.05
"EN608",2018-01-31 18:02:43,41.1975,-70.8795,5,8.565,6.05
"EN608",2018-01-31 18:02:54,41.1975,-70.8794,5,-2.896,6.05
"EN608",2018-01-31 18:03:05,41.1975,-70.8794,5,3.862,6.05
"EN608",2018-01-31 18:03:17,41.1975,-70.8793,5,12.95,6.05
"EN608",2018-01-31 18:03:28,41.1975,-70.8793,5,21.02,6.05
"EN608",2018-01-31 18:03:40,41.1974,-70.8793,5,31.84,6.05
"EN608",2018-01-31 18:03:51,41.1974,-70.8792,5,53.67,6.05
"EN608",2018-01-31 18:04:02,41.1974,-70.8792,5,57.1,6.05
"EN608",2018-01-31 18:04:14,41.1974,-70.8792,5,59.74,6.05
"EN608",2018-01-31 18:04:25,41.1974,-70.8792,5,62.19,6.05
"EN608",2018-01-31 18:04:37,41.1974,-70.8792,5,62.28,6.05
"EN608",2018-01-31 18:04:48,41.1974,-70.8792,5,60.13,6.05
"EN608",2018-01-31 18:04:59,41.1974,-70.8792,5,61.23,6.05
"EN608",2018-01-31 18:05:11,41.1974,-70.8792,5,59.92,6.05
"EN608",2018-01-31 18:05:22,41.1974,-70.8792,5,58.4,6.05
"EN608",2018-01-31 18:05:34,41.1975,-70.8792,5,58.09,6.05
"EN608",2018-01-31 18:05:45,41.1975,-70.8792,5,60.42,6.05
"EN608",2018-01-31 18:05:57,41.1975,-70.8792,5,57.35,6.05
"EN608",2018-01-31 18:06:08,41.1975,-70.8792,5,58.48,6.05
"EN608",2018-01-31 18:06:19,41.1975,-70.8792,5,58.34,6.05
"EN608",2018-01-31 18:06:31,41.1976,-70.8792,5,56.77,6.05
"EN608",2018-01-31 18:06:42,41.1976,-70.8792,5,57.28,6.05
"EN608",2018-01-31 18:06:54,41.1976,-70.8792,5,59.91,6.05
"EN608",2018-01-31 18:07:05,41.1976,-70.8792,5,59.43,6.05
"EN608",2018-01-31 18:07:16,41.1976,-70.8793,5,60.73,6.05
"EN608",2018-01-31 18:07:28,41.1976,-70.8793,5,62.4,6.05
"EN608",2018-01-31 18:07:39,41.1975,-70.8793,5,61.89,6.05
"EN608",2018-01-31 18:07:51,41.1975,-70.8794,5,62.67,6.05
"EN608",2018-01-31 18:08:02,41.1975,-70.8794,5,62.88,6.05
"EN608",2018-01-31 18:08:13,41.1975,-70.8794,5,61.66,6.05
"EN608",2018-01-31 18:08:25,41.1975,-70.8794,5,61.74,6.05
"EN608",2018-01-31 18:08:36,41.1974,-70.8795,5,61.91,6.05
"EN608",2018-01-31 18:08:48,41.1974,-70.8795,5,61.05,6.05
"EN608",2018-01-31 18:08:59,41.1974,-70.8795,5,60.85,6.05
"EN608",2018-01-31 18:09:10,41.1974,-70.8795,5,61.05,6.05
"EN608",2018-01-31 18:09:22,41.1974,-70.8795,5,61.3,6.05
"EN608",2018-01-31 18:09:33,41.1973,-70.8795,5,61.05,6.05
"EN608",2018-01-31 18:09:45,41.1973,-70.8795,5,64.57,6.05
"EN608",2018-01-31 18:09:56,41.1973,-70.8795,5,66.04,6.05
"EN608",2018-01-31 18:10:07,41.1973,-70.8795,5,67.27,6.05
"EN608",2018-01-31 18:10:19,41.1972,-70.8795,5,66.41,6.05
"EN608",2018-01-31 18:10:30,41.1972,-70.8795,5,67.52,6.05
"EN608",2018-01-31 18:10:42,41.1972,-70.8795,5,63.88,6.05
"EN608",2018-01-31 18:10:53,41.1971,-70.8795,5,62.27,6.05
"EN608",2018-01-31 18:11:04,41.1971,-70.8795,5,61.17,6.05
"EN608",2018-01-31 18:11:16,41.197,-70.8795,5,61.28,6.05
"EN608",2018-01-31 18:11:27,41.197,-70.8795,5,61.07,6.05
"EN608",2018-01-31 18:11:39,41.197,-70.8796,5,61.19,6.05
"EN608",2018-01-31 18:11:50,41.1969,-70.8796,5,60.65,6.05
"EN608",2018-01-31 18:12:01,41.1969,-70.8796,5,60.72,6.05
"EN608",2018-01-31 18:12:13,41.1969,-70.8796,5,60.76,6.05
"EN608",2018-01-31 18:12:24,41.1968,-70.8796,5,59.57,6.05
"EN608",2018-01-31 18:12:36,41.1968,-70.8796,5,59.8,6.05
"EN608",2018-01-31 18:12:47,41.1967,-70.8796,5,59.61,6.05
"EN608",2018-01-31 18:12:58,41.1967,-70.8796,5,58.33,6.05
"EN608",2018-01-31 18:13:10,41.1967,-70.8796,5,58.26,6.05
"EN608",2018-01-31 18:13:21,41.1966,-70.8796,5,58.65,6.05
"EN608",2018-01-31 18:13:33,41.1966,-70.8795,5,58.7,6.05
"EN608",2018-01-31 18:13:44,41.1966,-70.8795,5,59.02,6.05
"EN608",2018-01-31 18:13:55,41.1965,-70.8795,5,59.42,6.05
