"cruise","datetime_utc","datetime_utc_matlab_toi","latitude_API","longitude_API","toi_source","cast","niskin","depth","depth_matlab_toi","O2_Ar_delta","O2_Ar_ratio","cap_Delta_17","delta_17","delta_18","extras"
"EN608",2018-01-31 19:45:36,2018-01-31 19:23:00,41.19644,-70.8777,"toi_niskin",1,18,2.772,2,-62.498,21.0255,23.3,0.123,0.1926,0
"EN608",2018-02-01 00:37:55,2018-02-01 00:29:00,41.02868,-70.64938,"toi_niskin",2,3,4.066,5,-96.332,20.2667,12.7,0.4319,0.8097,0
"EN608",2018-02-01 01:06:00,2018-02-01 01:06:00,41.0307,-70.6962,"toi_underway",NA,NA,5,5,-91.149,20.383,18.2,0.3731,0.6854,0
"EN608",2018-02-01 01:25:00,2018-02-01 01:25:00,41.0237,-70.7586,"toi_underway",NA,NA,5,5,-85.758,20.5039,20.1,0.33,0.5984,0
"EN608",2018-02-01 02:04:00,2018-02-01 02:04:00,41.021,-70.8869,"toi_underway",NA,NA,5,5,-80.307,20.6261,17.5,0.2703,0.4883,0
"EN608",2018-02-01 02:43:00,2018-02-01 02:43:00,41.027,-71.0112,"toi_underway",NA,NA,5,5,-76.051,20.7216,22.9,0.226,0.3922,0
"EN608",2018-02-01 02:59:00,2018-02-01 02:59:00,41.0315,-71.0596,"toi_underway",NA,NA,5,5,-71.394,20.826,20.7,0.1906,0.3282,0
"EN608",2018-02-01 03:39:58,2018-02-01 03:32:00,41.02532,-71.09385,"toi_niskin",3,3,6.749,6,-66.748,20.9302,20.1,0.1576,0.2656,0
"EN608",2018-02-01 05:52:14,2018-02-01 05:40:00,41.0187,-70.87068,"toi_niskin",4,11,3.979,3,-76.433,20.713,24.7,0.2302,0.3969,0
"EN608",2018-02-01 05:52:14,2018-02-01 05:40:00,41.0187,-70.87068,"toi_niskin",4,11,3.979,3,-75.479,20.7344,19.2,0.21,0.3686,0
"EN608",2018-02-01 05:51:00,2018-02-01 05:51:00,41.019,-70.8708,"toi_underway",NA,NA,5,5,-77.951,20.679,22.3,0.2326,0.4061,0
"EN608",2018-02-01 05:53:00,2018-02-01 05:53:00,41.0184,-70.8706,"toi_underway",NA,NA,5,5,-77.933,20.6794,18.1,0.2391,0.4267,0
"EN608",2018-02-01 09:33:01,2018-02-01 09:18:00,40.85601,-70.88438,"toi_niskin",5,15,2.993,5,-84.411,20.5341,23.4,0.3062,0.5463,0
"EN608",2018-02-01 13:56:43,2018-02-01 13:48:00,40.68994,-70.65543,"toi_niskin",6,3,4.913,5,-80.702,20.6173,19.1,0.28,0.5039,0
"EN608",2018-02-01 14:38:00,2018-02-01 14:38:00,40.6887,-70.6994,"toi_underway",NA,NA,5,5,-80.773,20.6157,19.9,0.2791,0.5007,0
"EN608",2018-02-01 15:04:00,2018-02-01 15:04:00,40.6909,-70.7639,"toi_underway",NA,NA,5,5,-79.03,20.6548,17.8,0.2635,0.4745,0
"EN608",2018-02-01 15:27:00,2018-02-01 15:27:00,40.692,-70.8228,"toi_underway",NA,NA,5,5,-78.068,20.6764,24.7,0.2476,0.4305,0
"EN608",2018-02-01 15:45:00,2018-02-01 15:45:00,40.6927,-70.8696,"toi_underway",NA,NA,5,5,-81.284,20.6042,27.2,0.2761,0.4808,0
"EN608",2018-02-01 16:14:00,2018-02-01 16:14:00,40.6944,-70.9446,"toi_underway",NA,NA,5,5,-79.65,20.6409,18.1,0.2433,0.4348,0
"EN608",2018-02-01 16:35:00,2018-02-01 16:35:00,40.6943,-70.9989,"toi_underway",NA,NA,5,5,-81.657,20.5959,23.6,0.2586,0.4537,0
"EN608",2018-02-01 17:00:00,2018-02-01 17:00:00,40.6964,-71.0636,"toi_underway",NA,NA,5,5,-75.18,20.7411,20.4,0.2197,0.3849,0
"EN608",2018-02-01 17:31:00,2018-02-01 17:31:00,40.6919,-71.0979,"toi_underway",NA,NA,4.5,4.5,-77.548,20.688,17,0.2337,0.4186,0
"EN608",2018-02-01 19:30:48,2018-02-01 19:16:00,40.69306,-70.88426,"toi_niskin",8,15,5.48,5.6,-78.881,20.6581,18.6,0.2317,0.4115,0
"EN608",2018-02-01 19:30:48,2018-02-01 19:16:00,40.69306,-70.88426,"toi_niskin",8,15,5.48,5.6,-79.161,20.6518,15.3,0.2246,0.4042,0
"EN608",2018-02-01 19:33:00,2018-02-01 19:33:00,40.6923,-70.8842,"toi_underway",NA,NA,5,5,-77.929,20.6795,27.2,0.2273,0.3864,0
"EN608",2018-02-01 19:35:00,2018-02-01 19:35:00,40.6917,-70.8841,"toi_underway",NA,NA,5,5,-78.091,20.6758,29.3,0.2273,0.3824,0
"EN608",2018-02-01 23:48:59,2018-02-01 23:33:00,40.52209,-70.89656,"toi_niskin",9,15,5.1,5,-90.647,20.3942,24,0.3161,0.5642,0
"EN608",2018-02-02 04:10:35,2018-02-02 03:59:00,40.35944,-70.66133,"toi_niskin",10,3,5.878,6,-104.58,20.0818,15.6,0.3973,0.7373,0
"EN608",2018-02-02 04:41:00,2018-02-02 04:41:00,40.3583,-70.6978,"toi_underway",NA,NA,5,5,-100.42,20.175,18.7,0.3891,0.7156,0
"EN608",2018-02-02 05:00:00,2018-02-02 05:00:00,40.3603,-70.7591,"toi_underway",NA,NA,5,5,-94.302,20.3123,13.2,0.3688,0.6867,0
"EN608",2018-02-02 05:18:00,2018-02-02 05:18:00,40.3577,-70.8164,"toi_underway",NA,NA,5,5,-91.396,20.3774,20.1,0.3465,0.6304,0
"EN608",2018-02-02 05:40:00,2018-02-02 05:40:00,40.3534,-70.8872,"toi_underway",NA,NA,5,5,-93.89,20.3215,15.3,0.3665,0.6783,0
"EN608",2018-02-02 05:59:00,2018-02-02 05:59:00,40.357,-70.9504,"toi_underway",NA,NA,5,5,-94.868,20.2996,13,0.3813,0.7114,0
"EN608",2018-02-02 06:16:00,2018-02-02 06:16:00,40.3609,-71.0071,"toi_underway",NA,NA,5,5,-90.406,20.3996,18.6,0.3436,0.6278,0
"EN608",2018-02-02 07:09:01,2018-02-02 06:58:00,40.36017,-71.1034,"toi_niskin",11,4,3.643,3,-93.566,20.3288,8.61,0.347,0.6536,0
"EN608",2018-02-02 09:32:54,2018-02-02 09:14:00,40.35612,-70.87999,"toi_niskin",12,19,4.806,5,-94.311,20.3121,22.6,0.3813,0.6929,0
"EN608",2018-02-02 15:39:42,2018-02-02 15:15:00,40.2123,-70.90126,"toi_niskin",14,22,6.882,3,-96.481,20.2634,19.3,0.3525,0.6436,0
"EN608",2018-02-02 19:26:00,2018-02-02 19:26:00,40.1193,-70.8071,"toi_underway",NA,NA,5,5,-91.886,20.3664,19.4,0.32,0.5806,0
"EN608",2018-02-02 19:28:00,2018-02-02 19:28:00,40.1186,-70.8078,"toi_underway",NA,NA,5,5,-92.802,20.3459,13.7,0.3221,0.5957,0
"EN608",2018-02-03 00:37:41,2018-02-03 00:25:00,40.09432,-70.66957,"toi_niskin",16,3,5.689,5.4,-95.41,20.2874,22.4,0.3461,0.6253,0
"EN608",2018-02-03 01:16:00,2018-02-03 01:16:00,40.0973,-70.7048,"toi_underway",NA,NA,5,5,-96.508,20.2628,24.2,0.3865,0.6999,0
