"","cruiseid","datetime_utc_matlab","latitude_matlab","longitude_matlab","gop","ncp","ncp_per_gop","depth","niskin","quality","cruise_t0","cruise_day"
"1","en627",2019-02-01 21:39:00,41.1939,-70.8843,NA,NA,NA,5,7,0,2019-02-01 21:39:00,0
"2","en627",2019-02-01 21:39:00,41.1939,-70.8843,NA,NA,NA,12,2,0,2019-02-01 21:39:00,0
"3","en627",2019-02-02 01:25:00,41.0309,-70.6707,NA,NA,NA,0,0,0,2019-02-01 21:39:00,0.156944444444444
"4","en627",2019-02-02 01:43:00,41.0329,-70.7297,NA,NA,NA,0,0,0,2019-02-01 21:39:00,0.169444444444444
"5","en627",2019-02-02 02:18:00,41.0288,-70.7637,55.25,31.34,0.567,5,2,0,2019-02-01 21:39:00,0.19375
"6","en627",2019-02-02 03:00:00,41.0262,-70.8385,85.02,NA,NA,0,0,0,2019-02-01 21:39:00,0.222916666666667
"7","en627",2019-02-02 03:15:00,41.0283,-70.8862,27.71,34.15,1.23,0,0,0,2019-02-01 21:39:00,0.233333333333333
"8","en627",2019-02-02 03:34:00,41.0272,-70.9396,104.3,29.19,0.28,0,0,0,2019-02-01 21:39:00,0.246527777777778
"9","en627",2019-02-02 04:03:00,41.0259,-70.9907,92.08,22.6,0.245,5,2,0,2019-02-01 21:39:00,0.266666666666667
"10","en627",2019-02-02 04:56:00,41.0076,-71.0594,82.3,20.02,0.243,0,0,0,2019-02-01 21:39:00,0.303472222222222
"11","en627",2019-02-02 05:12:00,41.0297,-71.1048,60.88,22.04,0.362,0,0,0,2019-02-01 21:39:00,0.314583333333333
"12","en627",2019-02-02 06:29:00,41.0284,-70.8817,48.74,30.96,0.635,5,9,0,2019-02-01 21:39:00,0.368055555555556
"13","en627",2019-02-02 06:29:00,41.0284,-70.8817,70.94,30.78,0.434,5,9,0,2019-02-01 21:39:00,0.368055555555556
"14","en627",2019-02-02 06:29:00,41.0284,-70.8817,59.66,9.062,0.152,40,1,0,2019-02-01 21:39:00,0.368055555555556
"15","en627",2019-02-02 06:43:00,41.0254,-70.8788,48.07,29.52,0.614,0,0,0,2019-02-01 21:39:00,0.377777777777778
"16","en627",2019-02-02 06:45:00,41.025,-70.8784,72.49,29.26,0.404,0,0,0,2019-02-01 21:39:00,0.379166666666667
"17","en627",2019-02-02 10:02:00,40.8629,-70.8846,64.39,5.634,0.0875,5,7,0,2019-02-01 21:39:00,0.515972222222222
