"","datetime_utc_matlab","O2_Ar_delta","O2_Ar_ratio","depth_matlab","cap_Delta_17O","d17O","d18O","niskin","cruise","toi_source","cast","depth_API","datetime_utc_API","latitude_API","longitude_API","datetime_utc","depth","time_diff","depth_diff","reason"
"1",2018-02-02 09:10:00,-95.007,20.2964,55,11.2,0.3672,0.6876,12,"EN608","toi_niskin",12,35.265,2018-02-02 09:28:04,40.35675,-70.88002,2018-02-02 09:28:04,35.265,-1084,19.735,"large depth difference"
"2",2018-07-21 14:51:00,-140.74,19.2708,34,114,0.5588,0.8601,6,"EN617","toi_niskin",8,24.629,2018-07-21 15:04:36,40.70063,-70.87856,2018-07-21 15:04:36,24.629,-816,9.371,"large depth difference"
"3",2018-07-22 02:08:00,-216.06,17.5816,50,94.7,1.505,2.728,8,"EN617","toi_niskin",12,40.272,2018-07-22 02:20:14,40.36838,-70.88932,2018-07-22 02:20:14,40.272,-734,9.728,"large depth difference"
"4",2018-07-22 02:08:00,48.441,23.5136,28,135,-0.5049,-1.235,17,"EN617","toi_niskin",12,14.538,2018-07-22 02:25:56,40.36938,-70.88922,2018-07-22 02:25:56,14.538,-1076,13.462,"large depth difference"
"5",2018-07-22 05:00:00,-41.281,21.5014,3,62.6,0.06834,0.01111,7,"EN617","toi_niskin",13,55.346,2018-07-22 05:15:19,40.23852,-70.89093,2018-07-22 05:15:19,55.346,-919,-52.346,"large depth difference"
"6",2018-07-22 08:58:00,-283.18,16.0762,0,37.3,1.889,3.581,2,"EN617","toi_niskin",14,128.995,2018-07-22 09:06:18,40.14082,-70.75892,2018-07-22 09:06:18,128.995,-498,-128.995,"large depth difference"
"7",2019-02-01 21:39:00,-87.372,20.4677,0,10.5,0.2956,0.5506,2,"EN627","toi_niskin",3,11.756,2019-02-01 21:46:49,41.19767,-70.8809,2019-02-01 21:46:49,11.756,-469,-11.756,"large depth difference"
"8",2019-02-02 06:29:00,-83.501,20.5545,0,18.1,0.2377,0.4241,1,"EN627","toi_niskin",7,41.069,2019-02-02 06:33:06,41.02752,-70.88092,2019-02-02 06:33:06,41.069,-246,-41.069,"large depth difference"
"9",2018-07-24 15:33:00,-63.147,21.011,0,50.2,0.2445,0.3754,9,"EN617","toi_niskin",29,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"10",2018-10-21 08:03:00,-109.07,19.9811,5.331,38.2,0.405,0.7085,22,"AR31A","toi_niskin",1,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"11",2018-10-21 10:22:00,-118.03,19.7801,2.481,33.2,0.4201,0.7474,20,"AR31A","toi_niskin",2,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"12",2018-10-21 10:23:00,-117.14,19.8001,2.819,17.9,0.3974,0.7332,22,"AR31A","toi_niskin",2,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"13",2018-10-21 12:17:00,-91.185,20.3822,2.295,29.3,0.2213,0.3707,16,"AR31A","toi_niskin",3,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"14",2018-10-21 14:21:00,-80.298,20.6263,3.048,35,0.1012,0.1278,16,"AR31A","toi_niskin",4,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"15",2018-10-21 16:26:00,-103.99,20.0949,3.065,35.9,0.05794,0.0425,16,"AR31A","toi_niskin",5,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"16",2018-10-21 17:56:00,-110.01,19.9599,2.655,45.5,0.1641,0.2291,8,"AR31A","toi_niskin",6,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"17",2018-10-21 17:56:00,-108.44,19.9951,3.411,33.8,0.143,0.2109,10,"AR31A","toi_niskin",6,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin not found in API"
"18",2018-07-22 08:58:00,-283.18,16.0762,0,37.3,1.889,3.581,2,"EN617","toi_niskin",14,128.995,2018-07-22 09:06:18,40.14082,-70.75892,2018-07-22 09:06:18,128.995,-498,-128.995,"Niskin with provided depth = 0"
"19",2019-02-01 21:39:00,-87.372,20.4677,0,10.5,0.2956,0.5506,2,"EN627","toi_niskin",3,11.756,2019-02-01 21:46:49,41.19767,-70.8809,2019-02-01 21:46:49,11.756,-469,-11.756,"Niskin with provided depth = 0"
"20",2019-02-02 06:29:00,-83.501,20.5545,0,18.1,0.2377,0.4241,1,"EN627","toi_niskin",7,41.069,2019-02-02 06:33:06,41.02752,-70.88092,2019-02-02 06:33:06,41.069,-246,-41.069,"Niskin with provided depth = 0"
"21",2019-02-03 17:42:00,-81.584,20.5975,0,20.8,0.2851,0.5105,10,"EN627","toi_niskin",19,2.918,2019-02-03 18:09:53,40.1349,-70.76216,2019-02-03 18:09:53,2.918,-1673,-2.918,"Niskin with provided depth = 0"
"22",2018-07-24 15:33:00,-63.147,21.011,0,50.2,0.2445,0.3754,9,"EN617","toi_niskin",29,NA,NA,NA,NA,NA,NA,NA,NA,"Niskin with provided depth = 0"
"23",2018-02-01 17:31:00,-77.548,20.688,4.5,17,0.2337,0.4186,NA,"EN608","toi_underway",NA,NA,NA,40.6919,-71.0979,2018-02-01 17:31:00,4.5,NA,NA,"non-zero depth provided for underway sample"
"24",2018-02-01 18:12:00,-77.578,20.6873,9.3,19.6,0.2399,0.4254,NA,"EN608","toi_underway",NA,NA,NA,40.6905,-71.0382,2018-02-01 18:12:00,9.3,NA,NA,"non-zero depth provided for underway sample"
"25",2018-02-03 03:50:00,-86.215,20.4936,9,19.5,0.3118,0.5646,NA,"EN608","toi_underway",NA,NA,NA,40.0995,-71.0052,2018-02-03 03:50:00,9,NA,NA,"non-zero depth provided for underway sample"
"26",2018-10-21 10:28:00,-108.21,20.0004,2.1336,38.8,0.1273,0.1708,NA,"AR31A","toi_underway",NA,NA,NA,40.515,-70.88,2018-10-21 10:28:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"27",2018-10-21 14:26:00,-108.93,19.9842,2.1336,37.1,0.1407,0.2002,NA,"AR31A","toi_underway",NA,NA,NA,40.863,-70.885,2018-10-21 14:26:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"28",2018-10-21 16:48:00,-118.02,19.7802,2.1336,31.1,0.4203,0.7518,NA,"AR31A","toi_underway",NA,NA,NA,41.066,-70.882,2018-10-21 16:48:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"29",2018-10-21 19:12:00,-117.93,19.7823,2.1336,23.7,0.4131,0.7523,NA,"AR31A","toi_underway",NA,NA,NA,41.366,-70.886,2018-10-21 19:12:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"30",2018-10-21 21:36:00,-140.61,19.2737,2.1336,34.5,0.2741,0.4626,NA,"AR31A","toi_underway",NA,NA,NA,41.376,-70.845,2018-10-21 21:36:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"31",2018-10-22 12:00:00,-120.33,19.7286,2.1336,35.8,0.5068,0.9099,NA,"AR31A","toi_underway",NA,NA,NA,40.359,-70.886,2018-10-22 12:00:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"32",2018-10-22 12:00:00,-108.57,19.9924,2.1336,39.4,0.3756,0.6494,NA,"AR31A","toi_underway",NA,NA,NA,40.359,-70.886,2018-10-22 12:00:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"33",2018-10-22 12:00:00,-110.1,19.9581,2.1336,32.8,0.3816,0.6737,NA,"AR31A","toi_underway",NA,NA,NA,40.359,-70.886,2018-10-22 12:00:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"34",2018-10-22 14:24:00,-109.78,19.9652,2.1336,35.8,0.3725,0.6505,NA,"AR31A","toi_underway",NA,NA,NA,40.359,-70.886,2018-10-22 14:24:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"35",2018-10-22 14:24:00,-108.01,20.0048,2.1336,33,0.3535,0.6191,NA,"AR31A","toi_underway",NA,NA,NA,40.359,-70.886,2018-10-22 14:24:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"36",2018-10-23 06:27:00,-101.89,20.142,2.1336,34.3,0.2851,0.4844,NA,"AR31A","toi_underway",NA,NA,NA,40.525,-70.883,2018-10-23 06:27:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"37",2018-10-23 06:27:00,-103.83,20.0986,2.1336,35.1,0.2945,0.501,NA,"AR31A","toi_underway",NA,NA,NA,40.525,-70.883,2018-10-23 06:27:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"38",2018-10-23 07:25:00,-105.65,20.0578,2.1336,31.1,0.3175,0.5531,NA,"AR31A","toi_underway",NA,NA,NA,40.695,-70.884,2018-10-23 07:25:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"39",2018-10-23 08:23:00,-94.921,20.2984,2.1336,34,0.143,0.2106,NA,"AR31A","toi_underway",NA,NA,NA,40.859,-70.881,2018-10-23 08:23:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"40",2018-10-23 08:25:00,-98.787,20.2117,2.1336,29.7,0.1827,0.2956,NA,"AR31A","toi_underway",NA,NA,NA,40.865,-70.882,2018-10-23 08:25:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"41",2018-10-23 09:23:00,-96.094,20.2721,2.1336,41.8,-0.04149,-0.1608,NA,"AR31A","toi_underway",NA,NA,NA,41.03,-70.883,2018-10-23 09:23:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"42",2018-10-23 09:25:00,-95.188,20.2924,2.1336,35.8,-0.06155,-0.188,NA,"AR31A","toi_underway",NA,NA,NA,41.036,-70.883,2018-10-23 09:25:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"43",2018-10-23 10:22:00,-144.65,19.183,2.1336,41.6,0.3286,0.5543,NA,"AR31A","toi_underway",NA,NA,NA,41.192,-70.883,2018-10-23 10:22:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"44",2018-10-23 10:24:00,-146.72,19.1367,2.1336,37.4,0.333,0.5709,NA,"AR31A","toi_underway",NA,NA,NA,41.197,-70.883,2018-10-23 10:24:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"45",2018-10-23 12:00:00,-115.78,19.8306,2.1336,38.3,0.4577,0.8102,NA,"AR31A","toi_underway",NA,NA,NA,41.428,-70.8,2018-10-23 12:00:00,2.134,NA,NA,"non-zero depth provided for underway sample"
"46",2019-08-21 00:48:00,-28.754,21.7823,2,109,-0.7555,-1.667,NA,"EN644","toi_underway",NA,NA,NA,41.0237,-70.8716,2019-08-21 00:48:00,2,NA,NA,"non-zero depth provided for underway sample"
"47",NA,-110.86,19.9409,2.1336,43,-0.02759,-0.1364,NA,"AR31A","toi_underway",NA,NA,NA,NA,NA,NA,2.134,NA,NA,"non-zero depth provided for underway sample"
