"","datetime_utc_matlab","O2_Ar_delta","O2_Ar_ratio","depth_matlab","cap_Delta_17O","d17O","d18O","niskin","cruise","toi_source","depth","cast","depth_API","datetime_utc_API","latitude_API","longitude_API","datetime_utc","cruise_t0","cruise_day","time_diff","time_diff_min","depth_diff","reason"
"1",2018-02-02 21:00:00,-92.102,20.3616,999,17,0.3609,0.6643,99,"EN608","toi_niskin",NA,15,NA,NA,NA,NA,NA,2018-01-31 19:37:20,NA,NA,NA,NA,"niskin 99"
"2",2018-02-03 19:00:00,-96.332,20.2667,999,10.2,0.3969,0.7469,99,"EN608","toi_niskin",NA,19,NA,NA,NA,NA,NA,2018-01-31 19:37:20,NA,NA,NA,NA,"niskin 99"
"3",2018-02-03 20:08:00,-93.128,20.3386,999,19.1,0.3664,0.6708,99,"EN608","toi_niskin",NA,20,NA,NA,NA,NA,NA,2018-01-31 19:37:20,NA,NA,NA,NA,"niskin 99"
"4",2018-02-03 20:12:00,-91.465,20.3759,999,10.8,0.3468,0.6491,99,"EN608","toi_niskin",NA,20,NA,NA,NA,NA,NA,2018-01-31 19:37:20,NA,NA,NA,NA,"niskin 99"
"5",2018-02-03 21:23:00,-83.072,20.5641,999,18.3,0.2793,0.5039,99,"EN608","toi_niskin",NA,20,NA,NA,NA,NA,NA,2018-01-31 19:37:20,NA,NA,NA,NA,"niskin 99"
"6",2018-02-04 20:09:00,-100.48,20.1737,999,6.29,0.4803,0.9157,99,"EN608","toi_niskin",NA,29,NA,NA,NA,NA,NA,2018-01-31 19:37:20,NA,NA,NA,NA,"niskin 99"
"7",2018-02-04 20:41:00,-87.859,20.4568,999,12.6,0.3312,0.6154,99,"EN608","toi_niskin",NA,29,NA,NA,NA,NA,NA,2018-01-31 19:37:20,NA,NA,NA,NA,"niskin 99"
"8",2019-04-22 04:34:00,-32.803,21.6915,2.143,35.1,-0.176,-0.4074,15,"AR34B","toi_niskin",7.83,18,7.83,2019-04-22 05:33:26,40.0988333333333,-70.884,2019-04-22 05:33:26,2019-04-15 01:50:12,7.15502314814815,NA,NA,NA,"incorrect cast start time"
"9",2019-08-22 00:57:00,-75.603,20.7316,32,160,-0.3821,-1.047,12,"EN644","toi_niskin",18.615,8,18.615,2019-08-22 00:20:04,40.21459,-70.8852,2019-08-22 00:20:04,2019-08-20 19:17:48,1.20990740740741,NA,NA,NA,"incorrect cast start time"
"10",2019-08-22 03:10:00,-76.943,20.7016,0,37.6,0.1474,0.212,17,"EN644","toi_niskin",4.641,9,4.641,2019-08-22 04:52:18,40.11408,-70.77833,2019-08-22 04:52:18,2019-08-20 19:17:48,1.39895833333333,NA,NA,NA,"incorrect cast start time"
"11",2019-08-22 03:10:00,-48.251,21.3451,18,110,-0.2203,-0.637,12,"EN644","toi_niskin",31.708,9,31.708,2019-08-22 04:46:56,40.11583,-70.77923,2019-08-22 04:46:56,2019-08-20 19:17:48,1.39523148148148,NA,NA,NA,"incorrect cast start time"
"12",2019-08-22 03:10:00,-120.89,19.7161,29,127,0.3442,0.4201,9,"EN644","toi_niskin",49.515,9,49.515,2019-08-22 04:44:18,40.11685,-70.77968,2019-08-22 04:44:18,2019-08-20 19:17:48,1.39340277777778,NA,NA,NA,"incorrect cast start time"
"13",2019-08-22 04:23:00,-79.667,20.6405,5,27.8,0.1812,0.2964,20,"EN644","toi_niskin",4.732,9,4.732,2019-08-22 04:52:43,40.114,-70.77814,2019-08-22 04:52:43,2019-08-20 19:17:48,1.39924768518519,NA,NA,NA,"incorrect cast start time"
"14",2019-08-22 04:23:00,-199.65,17.9497,50,135,0.4517,0.6117,11,"EN644","toi_niskin",50.074,9,50.074,2019-08-22 04:44:37,40.1167,-70.77968,2019-08-22 04:44:37,2019-08-20 19:17:48,1.39362268518519,NA,NA,NA,"incorrect cast start time"
"15",2019-08-22 04:23:00,-80.25,20.6274,5,37.1,0.1899,0.2952,20,"EN644","toi_niskin",4.732,9,4.732,2019-08-22 04:52:43,40.114,-70.77814,2019-08-22 04:52:43,2019-08-20 19:17:48,1.39924768518519,NA,NA,NA,"incorrect cast start time"
"16",2019-08-22 04:23:00,-405.14,13.341,90,36.2,3.002,5.743,3,"EN644","toi_niskin",90.104,9,90.104,2019-08-22 04:36:32,40.11993,-70.78068,2019-08-22 04:36:32,2019-08-20 19:17:48,1.38800925925926,NA,NA,NA,"incorrect cast start time"
"17",2019-08-22 04:23:00,-388.68,13.7103,75,49.8,2.846,5.414,4,"EN644","toi_niskin",75.618,9,75.618,2019-08-22 04:39:02,40.11892,-70.78016,2019-08-22 04:39:02,2019-08-20 19:17:48,1.38974537037037,NA,NA,NA,"incorrect cast start time"
"18",2019-08-23 15:45:00,-256.15,16.6825,45,130,0.9301,1.547,2,"EN644","toi_niskin",46.129,18,46.129,2019-08-23 15:55:32,40.10696,-70.88438,2019-08-23 15:55:32,2019-08-20 19:17:48,2.85953703703704,NA,NA,NA,"incorrect cast start time"
