,datetime_utc_matlab,O2_Ar_delta,O2_Ar_ratio,depth_matlab,cap_Delta_17O,d17O,d18O,niskin,toi_bottle_id,cruise,toi_source,depth,cast,depth_API,datetime_utc_API,latitude_API,longitude_API,datetime_utc,cruise_t0,cruise_day,iode_quality_flag,time_diff,time_diff_min,depth_diff,reason,comments
1,7/23/2018 12:59,-55.557,21.1812,5,41,0.1474,0.2055,19,NA,EN617,toi_niskin,4.622,21,4.622,7/23/2018 14:04,39.76378,-70.85765,7/23/2018 14:04,7/20/2018 17:33,2.854722222,3,-3905,65.08,NA,large time difference,Deep cast. No actual issue. 
2,7/23/2018 12:59,-55.361,21.1856,5,44.5,0.1522,0.2081,19,NA,EN617,toi_niskin,4.622,21,4.622,7/23/2018 14:04,39.76378,-70.85765,7/23/2018 14:04,7/20/2018 17:33,2.854722222,3,-3905,65.08,NA,large time difference,Deep cast. No actual issue. 
3,2/2/2020 18:07,-67.577,20.9116,18.178,28.5,0.04404,0.03011,1,NA,EN649,toi_niskin,123.083,007,123.083,2/2/2020 22:29,40.22405,-70.88358,2/2/2020 22:29,2/2/2020 4:00,0.770462963,3,-15748,262.47,NA,large time difference,
4,2/2/2020 18:14,-66.574,20.9341,10.062,24.1,0.03304,0.01722,6,NA,EN649,toi_niskin,95.137,007,95.137,2/2/2020 22:35,40.22352,-70.88598,2/2/2020 22:35,2/2/2020 4:00,0.774872685,3,-15709,261.82,NA,large time difference,
5,2/2/2020 18:17,-65.154,20.966,3.612,23.3,-0.002551,-0.04993,12,NA,EN649,toi_niskin,50.473,007,50.473,2/2/2020 22:42,40.2229,-70.88852,2/2/2020 22:42,2/2/2020 4:00,0.779479167,3,-15927,265.45,NA,large time difference,
6,7/25/2020 3:50,-105.98,20.0505,18.382,123,-0.09177,-0.422,1,195,EN655,toi_niskin,18.382,001,18.382,7/25/2020 15:50,41.2032,-70.88038,7/25/2020 15:50,7/25/2020 15:50,0,3,-43244,720.73,NA,large time difference,
7,7/25/2020 3:53,-99.574,20.194,12.377,117,-0.1342,-0.5049,6,251,EN655,toi_niskin,12.377,001,12.377,7/25/2020 15:53,41.2026,-70.88024,7/25/2020 15:53,7/25/2020 15:50,0.002013889,3,-43238,720.63,NA,large time difference,
8,7/25/2020 9:50,22.855,22.9398,14.916,146,-0.6313,-1.513,8,247,EN655,toi_niskin,12.745,001,12.745,7/25/2020 15:53,41.20254,-70.88024,7/25/2020 15:53,7/25/2020 15:50,0.002222222,3,-21836,363.93,NA,large time difference,
9,7/25/2020 9:56,-60.92,21.0609,1.913,48.2,0.03213,-0.02321,14,182,EN655,toi_niskin,7.3,001,7.3,7/25/2020 15:55,41.20236,-70.8803,7/25/2020 15:55,7/25/2020 15:50,0.003611111,3,-21596,359.93,NA,large time difference,
10,7/27/2020 9:31,-157.92,18.8856,44.967,94.5,0.5662,0.9041,8,550,EN655,toi_niskin,49.893,012,49.893,7/27/2020 10:44,39.92652,-70.89,7/27/2020 10:44,7/25/2020 15:50,1.787233796,3,-4401,73.35,NA,large time difference,
11,7/27/2020 9:36,-13.749,22.1188,25.035,136,-0.4844,-1.202,13,400,EN655,toi_niskin,22.99,012,22.99,7/27/2020 10:47,39.92558,-70.89076,7/27/2020 10:47,7/25/2020 15:50,1.789456019,3,-4293,71.55,NA,large time difference,
12,7/27/2020 9:38,-46.997,21.3732,10.359,99.5,-0.13,-0.4575,17,507,EN655,toi_niskin,2.519,012,2.519,7/27/2020 10:51,39.92438,-70.89194,7/27/2020 10:51,7/25/2020 15:50,1.792430556,3,-4430,73.83,NA,large time difference,
13,2/17/2022 18:29,-67.542,20.9124,18,18.6,0.1344,0.2184,1,461,AT46,toi_niskin,496.166,007,496.166,2/17/2022 21:36,39.7727,-70.8816,2/17/2022 21:36,2/16/2022 20:25,1.049849537,3,-11267,187.78,NA,large time difference,
14,2/17/2022 18:33,-62.601,21.0232,10,26.5,0.08818,0.1158,6,423,AT46,toi_niskin,66.909,007,66.909,2/17/2022 22:04,39.77261,-70.88068,2/17/2022 22:04,2/16/2022 20:25,1.069155093,3,-12695,211.58,NA,large time difference,
15,2/17/2022 18:35,-60.144,21.0783,2,26,0.06654,0.07312,12,419,AT46,toi_niskin,45.844,007,45.844,2/17/2022 22:10,39.77266,-70.88054,2/17/2022 22:10,2/16/2022 20:25,1.0734375,3,-12945,215.75,NA,large time difference,
16,2/17/2022 18:35,-59.836,21.0853,2,25.2,0.05078,0.04422,12,462,AT46,toi_niskin,45.844,007,45.844,2/17/2022 22:10,39.77266,-70.88054,2/17/2022 22:10,2/16/2022 20:25,1.0734375,3,-12945,215.75,NA,large time difference,
17,2/18/2022 21:49,-552.32,10.0402,225,78.6,4.067,7.731,2,631,AT46,toi_niskin,15.045,011,15.045,2/18/2022 22:56,40.09718,-70.99546,2/18/2022 22:56,2/16/2022 20:25,2.105497685,3,-4075,67.92,NA,large time difference,
18,2/21/2022 4:50,-53.15,21.2352,4.8,27.3,0.01553,-0.02499,5,297,AT46,toi_niskin,5.846,022,5.846,2/21/2022 2:48,40.85908,-70.8815,2/21/2022 2:48,2/16/2022 20:25,4.266527778,3,7272,121.2,NA,large time difference,
19,2/2/2018 9:10,-95.007,20.2964,55,11.2,0.3672,0.6876,12,NA,EN608,toi_niskin,35.265,12,35.265,2/2/2018 9:28,40.35675,-70.88002,2/2/2018 9:28,1/31/2018 19:37,1.576898148,3,-1084,18.07,19.735,large depth difference,No issue. Looks like depth mis-entry. 
20,7/21/2018 14:51,-140.74,19.2708,34,114,0.5588,0.8601,6,NA,EN617,toi_niskin,24.629,08,24.629,7/21/2018 15:04,40.70063,-70.87856,7/21/2018 15:04,7/20/2018 17:33,0.896747685,3,-816,13.6,9.371,large depth difference,No actual issue. slight error on entering depth. 
